player,minutes_played,passes,completed_passes,shots,dribbles,tackles,interceptions,passes_per90,pass_accuracy,shots_per90,dribbles_per90,tackles_per90,interceptions_per90
Santiago Arias Naranjo,396,215,0,1,2,0,6,48.86363636363636,0.0,0.22727272727272727,0.45454545454545453,0.0,1.3636363636363635
Sardar Azmoun,283,58,0,5,3,0,2,18.445229681978798,0.0,1.5901060070671378,0.9540636042402827,0.0,0.6360424028268551
Saîf-Eddine Khaoui,92,37,0,2,2,0,0,36.19565217391305,0.0,1.956521739130435,1.956521739130435,0.0,0.0
Se-Jong Ju,161,41,0,0,0,0,1,22.919254658385093,0.0,0.0,0.0,0.0,0.5590062111801242
Sebastian Larsson,325,167,0,1,1,0,1,46.246153846153845,0.0,0.27692307692307694,0.27692307692307694,0.0,0.27692307692307694
Sebastian Rudy,30,17,0,1,0,0,0,51.0,0.0,3.0,0.0,0.0,0.0
Sebastián Coates Nión,93,64,0,0,0,0,1,61.93548387096774,0.0,0.0,0.0,0.0,0.9677419354838709
Seon-Min Moon,144,33,0,2,2,0,0,20.625,0.0,1.25,1.25,0.0,0.0
Sergei Ignashevich,520,160,0,5,0,0,1,27.692307692307693,0.0,0.8653846153846154,0.0,0.0,0.17307692307692307
Sergej Milinković-Savić,278,114,0,5,12,0,0,36.906474820143885,0.0,1.618705035971223,3.884892086330935,0.0,0.0
Sergio Busquets i Burgos,401,312,0,5,3,0,7,70.02493765586034,0.0,1.1221945137157108,0.6733167082294265,0.0,1.5710723192019949
Sergio Leonel Agüero del Castillo,333,63,0,6,2,0,1,17.027027027027025,0.0,1.6216216216216215,0.5405405405405405,0.0,0.27027027027027023
Sergio Ramos García,406,496,0,5,0,0,1,109.95073891625616,0.0,1.1083743842364533,0.0,0.0,0.22167487684729065
Seung-Woo Lee,188,27,0,1,4,0,0,12.925531914893616,0.0,0.4787234042553191,1.9148936170212765,0.0,0.0
Seyed Majid Hosseini,280,40,0,0,0,0,0,12.857142857142858,0.0,0.0,0.0,0.0,0.0
Shin-Wook Kim,66,13,0,0,0,0,0,17.72727272727273,0.0,0.0,0.0,0.0,0.0
Shinji Kagawa,235,142,0,3,7,0,3,54.38297872340426,0.0,1.1489361702127658,2.6808510638297873,0.0,1.1489361702127658
Shinji Okazaki,232,18,0,1,3,0,1,6.982758620689655,0.0,0.3879310344827586,1.1637931034482758,0.0,0.3879310344827586
Simeon Tochukwu Nwankwo,186,1,0,0,0,0,0,0.48387096774193544,0.0,0.0,0.0,0.0,0.0
Simon Thorup Kjær,398,221,0,1,0,0,1,49.97487437185929,0.0,0.22613065326633164,0.0,0.0,0.22613065326633164
Sofyan Amrabat,93,6,0,0,0,0,0,5.806451612903225,0.0,0.0,0.0,0.0,0.0
Stephan Lichtsteiner,274,152,0,3,7,0,3,49.92700729927007,0.0,0.9854014598540146,2.2992700729927007,0.0,0.9854014598540146
Steve Mandanda,89,25,0,0,0,0,0,25.280898876404493,0.0,0.0,0.0,0.0,0.0
Steven N''Kemboanza Mike Christopher Nzonzi,464,102,0,0,0,0,2,19.784482758620687,0.0,0.0,0.0,0.0,0.3879310344827586
Steven Zuber,256,92,0,4,9,0,0,32.34375,0.0,1.40625,3.1640625,0.0,0.0
Sung-Yeung Ki,186,85,0,3,2,0,1,41.12903225806451,0.0,1.4516129032258063,0.9677419354838709,0.0,0.48387096774193544
Sverrir Ingi Ingason,185,46,0,3,0,0,2,22.37837837837838,0.0,1.4594594594594597,0.0,0.0,0.972972972972973
Syam Ben Youssef,130,42,0,0,2,0,2,29.076923076923077,0.0,0.0,1.3846153846153846,0.0,1.3846153846153846
Sławomir Peszko,88,11,0,0,0,0,0,11.25,0.0,0.0,0.0,0.0,0.0
Taisir Jabir Al Jassim,135,68,0,0,3,0,1,45.333333333333336,0.0,0.0,2.0,0.0,0.6666666666666666
Takashi Inui,359,127,0,9,5,0,5,31.838440111420613,0.0,2.256267409470752,1.2534818941504178,0.0,1.2534818941504178
Takashi Usami,156,42,0,3,3,0,1,24.23076923076923,0.0,1.7307692307692306,1.7307692307692306,0.0,0.5769230769230769
